"","Year","Symbol","F.Score_Grouping","Holding_Return"
"1","Y2009","ABAX","High_F.Score",0.0433300376981904
"2","Y2009","ACXM","High_F.Score",0.663646658542184
"3","Y2009","ADP","High_F.Score",0.0694656368326867
"4","Y2009","AEHR","Low_F.Score",0.213740457914312
"5","Y2009","ALJJ","Low_F.Score",0.034482756958824
"6","Y2009","ALNY","Low_F.Score",-0.106092482757751
"7","Y2009","AMGN","High_F.Score",0.208400646542641
"8","Y2009","AMSWA","High_F.Score",-0.096477794772252
"9","Y2009","AMZN","High_F.Score",0.84872004546595
"10","Y2009","ANGO","High_F.Score",0.10595065273152
"11","Y2009","APOG","High_F.Score",-0.118078175508843
"12","Y2009","ASML","Low_F.Score",1.02170199890846
"13","Y2009","ASNA","High_F.Score",0.144218276140323
"14","Y2009","ATHN","High_F.Score",0.516383222339533
"15","Y2009","AZPN","High_F.Score",0.0166666657856915
"16","Y2009","BBBY","High_F.Score",0.205853723591317
"17","Y2009","BECN","High_F.Score",0.116875062733565
"18","Y2009","BIIB","High_F.Score",0.0948111640835951
"19","Y2009","BLKB","High_F.Score",1.17226521646116
"20","Y2009","BRKS","Low_F.Score",0.0571095579846244
"21","Y2009","BSET","High_F.Score",1.90721649292044
"22","Y2009","BUR","Low_F.Score",-0.20401691
"23","Y2009","CA","High_F.Score",0.055651175769412
"24","Y2009","CASY","High_F.Score",0.330465306388765
"25","Y2009","CCUR","High_F.Score",0.455142228712818
"26","Y2009","CENT","High_F.Score",-0.0803738306378589
"27","Y2009","CENTA","High_F.Score",-0.00603621697347456
"28","Y2009","CETV","Low_F.Score",1.55759153671701
"29","Y2009","CHKE","High_F.Score",-0.137235116063103
"30","Y2009","CMCO","Low_F.Score",0.104347826016622
"31","Y2009","CMCSA","High_F.Score",0.380498534782659
"32","Y2009","CMPR","High_F.Score",-0.238423606201045
"33","Y2009","COST","High_F.Score",0.220381974247285
"34","Y2009","CPST","Low_F.Score",0.180722891626369
"35","Y2009","CRMT","High_F.Score",0.0513569500187809
"36","Y2009","CSII","Low_F.Score",-0.279229706034893
"37","Y2009","CSX","High_F.Score",0.969052188640963
"38","Y2009","CTRN","High_F.Score",0.272797537266984
"39","Y2009","CVCO","Low_F.Score",0.388866955250796
"40","Y2009","CVGW","Low_F.Score",0.517470882002439
"41","Y2009","CVLT","High_F.Score",0.356238697880729
"42","Y2009","CYAN","High_F.Score",-0.0355329969363182
"43","Y2009","DISH","High_F.Score",0.873987399443996
"44","Y2009","DWCH","High_F.Score",0.30188679583606
"45","Y2009","EA","Low_F.Score",-0.337016543609262
"46","Y2009","EBAY","High_F.Score",1.14729309046768
"47","Y2009","EMKR","Low_F.Score",0.0186915876641029
"48","Y2009","EPAY","High_F.Score",0.19069767425738
"49","Y2009","EXPE","High_F.Score",1.74779746616527
"50","Y2009","EXTR","High_F.Score",0.110714285244943
"51","Y2009","FFIV","High_F.Score",1.45723997565067
"52","Y2009","FINL","High_F.Score",0.877358491040078
"53","Y2009","FIZZ","High_F.Score",0.2163336229787
"54","Y2009","FLEX","Low_F.Score",0.349397590367442
"55","Y2009","FNSR","Low_F.Score",0.941115794806706
"56","Y2009","FONR","High_F.Score",-0.350467289393306
"57","Y2009","FRED","High_F.Score",-0.124999999561168
"58","Y2009","GNTX","High_F.Score",0.949799197191962
"59","Y2009","GOOD","High_F.Score",0.627252252327522
"60","Y2009","GOOG","High_F.Score",0.629374288637228
"61","Y2009","GOOGL","High_F.Score",0.629374200155743
"62","Y2009","GRMN","High_F.Score",0.821310836886616
"63","Y2009","GSIT","High_F.Score",0.481865284090471
"64","Y2009","HA","High_F.Score",0.975871311850248
"65","Y2009","HIBB","High_F.Score",0.331111055174397
"66","Y2009","HSIC","High_F.Score",0.472868193509557
"67","Y2009","HWKN","High_F.Score",0.0664304691021591
"68","Y2009","IIVI","High_F.Score",0.467374292544079
"69","Y2009","IMKTA","High_F.Score",0.269002048590611
"70","Y2009","INTC","High_F.Score",0.483033999717094
"71","Y2009","IRBT","High_F.Score",0.994736840346795
"72","Y2009","ISSC","High_F.Score",0.23529412223497
"73","Y2009","JBLU","High_F.Score",0.528767116762949
"74","Y2009","JBSS","High_F.Score",0.135972462174441
"75","Y2009","JJSF","High_F.Score",0.207207288531109
"76","Y2009","JKHY","High_F.Score",0.0864934433962783
"77","Y2009","KBAL","High_F.Score",-0.235910845784168
"78","Y2009","KELYA","Low_F.Score",1.06956521693712
"79","Y2009","KIRK","High_F.Score",0.405495337640313
"80","Y2009","KLIC","Low_F.Score",0.335807049933685
"81","Y2009","KTEC","Low_F.Score",0.446428571007065
"82","Y2009","LANC","High_F.Score",-0.0735322806758831
"83","Y2009","LBIX","Low_F.Score",-0.716250000515898
"84","Y2009","LBTYA","High_F.Score",1.0027471926825
"85","Y2009","LBTYK","High_F.Score",1.04458598674805
"86","Y2009","LOGI","Low_F.Score",-0.0441910181095462
"87","Y2009","LOGM","High_F.Score",0.0345000501225259
"88","Y2009","LOPE","Low_F.Score",0.514484299669128
"89","Y2009","MDLZ","High_F.Score",0.35666211811758
"90","Y2009","MIND","Low_F.Score",0.304431599431271
"91","Y2009","MMLP","Low_F.Score",0.656366542533901
"92","Y2009","MRCY","High_F.Score",0.220081136207109
"93","Y2009","MRVL","High_F.Score",0.353951890578729
